,epoch,good prediction
0,0,4844
1,1,4089
2,2,4453
3,3,4949
4,4,5125
5,5,5164
6,6,4550
7,7,4292
8,8,5365
9,9,3582
10,10,4086
11,11,5535
12,12,5160
13,13,4637
14,14,4313
15,15,4052
16,16,4075
17,17,4876
18,18,4709
19,19,4518
20,20,4193
21,21,4470
22,22,4447
23,23,3843
24,24,4509
25,25,4027
26,26,4404
27,27,4590
28,28,4612
29,29,4818
30,30,4450
31,31,4412
32,32,4985
33,33,4510
34,34,4775
35,35,4685
36,36,4649
37,37,4172
38,38,4962
39,39,4803
40,40,4870
41,41,5222
42,42,4093
43,43,2661
44,44,4531
45,45,4245
46,46,4155
47,47,4455
48,48,3742
49,49,3564
50,50,5355
51,51,4394
52,52,3550
53,53,2996
54,54,4197
55,55,4757
56,56,3689
57,57,4203
58,58,3650
59,59,4035
60,60,4587
61,61,4936
62,62,4404
63,63,5075
64,64,5210
65,65,5599
66,66,5577
67,67,5358
68,68,4829
69,69,5333
70,70,6256
71,71,5725
72,72,6406
73,73,6406
74,74,7520
75,75,8083
76,76,8317
77,77,8337
78,78,8623
79,79,8442
80,80,8429
81,81,8562
82,82,9367
83,83,9533
84,84,9426
85,85,10109
86,86,9477
87,87,9923
88,88,10041
89,89,10494
90,90,9917
91,91,10219
92,92,10604
93,93,10243
94,94,10512
95,95,10403
96,96,10500
97,97,10979
98,98,11127
99,99,10477
100,100,10501
101,101,11112
102,102,10514
103,103,10855
104,104,10798
105,105,10870
106,106,11052
107,107,11617
108,108,11139
109,109,11268
110,110,11179
111,111,10924
112,112,11238
113,113,11219
114,114,11256
115,115,11430
116,116,11615
117,117,11465
118,118,11346
119,119,11254
120,120,11194
121,121,11785
122,122,11376
123,123,11391
124,124,11856
125,125,11565
126,126,11543
127,127,11719
128,128,11849
129,129,11897
130,130,11944
131,131,11216
132,132,11792
133,133,12039
134,134,11924
135,135,11875
136,136,11693
137,137,11427
138,138,11727
139,139,11341
140,140,11539
141,141,11851
142,142,12220
143,143,12271
144,144,12249
145,145,11642
146,146,11569
147,147,12086
148,148,11915
149,149,12008
150,150,11594
151,151,12379
152,152,11911
153,153,12507
154,154,12726
155,155,12515
156,156,12448
157,157,12454
158,158,12628
159,159,12401
160,160,12567
161,161,12083
162,162,12733
163,163,12393
164,164,12562
165,165,12713
166,166,12894
167,167,12644
168,168,12629
169,169,12904
170,170,12661
171,171,12581
172,172,13014
173,173,12939
174,174,12798
175,175,12802
176,176,12601
177,177,12789
178,178,12911
179,179,12829
180,180,12777
181,181,13072
182,182,12838
183,183,13011
184,184,11431
185,185,11678
186,186,12184
187,187,12395
188,188,12361
189,189,12281
190,190,12048
191,191,12199
192,192,12349
193,193,12647
194,194,12251
195,195,12640
196,196,12336
197,197,12561
198,198,12521
199,199,12300
200,200,12280
201,201,12817
202,202,12946
203,203,12477
204,204,12535
205,205,12246
206,206,12672
207,207,12811
208,208,12576
209,209,12521
210,210,12670
211,211,12951
212,212,12675
213,213,12850
214,214,12769
215,215,12623
216,216,12749
217,217,12929
218,218,13189
219,219,12801
220,220,12678
221,221,13113
222,222,12795
223,223,12989
224,224,12956
225,225,13116
226,226,13201
227,227,12985
228,228,12755
229,229,13156
230,230,13489
231,231,13069
232,232,13088
233,233,13172
234,234,13072
235,235,13099
236,236,12854
237,237,13364
238,238,13100
239,239,13281
240,240,12789
241,241,12441
242,242,12489
243,243,12828
244,244,12634
245,245,12821
246,246,12830
247,247,12376
248,248,12620
249,249,12897
250,250,12907
251,251,12439
252,252,13136
253,253,13010
254,254,13050
255,255,13122
256,256,13159
257,257,12997
258,258,13311
259,259,12826
260,260,13167
261,261,13371
262,262,13290
263,263,12950
264,264,13154
265,265,12744
266,266,12762
267,267,12910
268,268,13380
269,269,13417
270,270,13541
271,271,12797
272,272,13562
273,273,13578
274,274,13456
275,275,13377
276,276,13602
277,277,13028
278,278,13239
279,279,13253
280,280,13398
281,281,13349
282,282,13457
283,283,13044
284,284,13138
285,285,13267
286,286,13129
287,287,12927
288,288,13116
289,289,12358
290,290,12717
291,291,13148
292,292,13156
293,293,13476
294,294,13102
295,295,13438
296,296,13265
297,297,13440
298,298,12827
299,299,13515
300,300,13303
301,301,13819
302,302,13275
303,303,13651
304,304,13529
305,305,13234
306,306,13349
307,307,13408
308,308,13751
309,309,13785
310,310,14119
311,311,13962
312,312,13534
313,313,13359
314,314,13344
315,315,13582
316,316,13430
317,317,13678
318,318,13131
319,319,13603
320,320,13635
321,321,13625
322,322,13592
323,323,13870
324,324,14017
325,325,14155
326,326,13732
327,327,13756
328,328,14382
329,329,14058
330,330,13914
331,331,13921
332,332,13524
333,333,14348
334,334,14115
335,335,13680
336,336,13868
337,337,13809
338,338,13825
339,339,14267
340,340,14130
341,341,13990
342,342,14069
343,343,14344
344,344,14324
345,345,14472
346,346,14136
347,347,14417
348,348,14243
349,349,14140
350,350,13488
351,351,14127
352,352,14232
353,353,13787
354,354,13454
355,355,13868
356,356,13881
357,357,13815
358,358,13861
359,359,14024
360,360,13475
361,361,14163
362,362,14046
363,363,13305
364,364,13723
365,365,14013
366,366,14108
367,367,13625
368,368,14151
369,369,14350
370,370,14229
371,371,14464
372,372,13942
373,373,14138
374,374,14400
375,375,14013
376,376,14201
377,377,14482
378,378,14396
379,379,13606
380,380,14146
381,381,14290
382,382,14360
383,383,14167
384,384,14243
385,385,13922
386,386,14684
387,387,14589
388,388,14465
389,389,14419
390,390,14387
391,391,13900
392,392,14626
393,393,14236
394,394,13882
395,395,13526
396,396,14370
397,397,13775
398,398,14390
399,399,14397
400,400,14507
401,401,14400
402,402,14559
403,403,14450
404,404,14330
405,405,14344
406,406,14235
407,407,14346
408,408,14537
409,409,14557
410,410,14349
411,411,14168
412,412,14880
413,413,14445
414,414,14482
415,415,14481
416,416,14613
417,417,14360
418,418,13804
419,419,13715
420,420,13906
421,421,14027
422,422,13546
423,423,13998
424,424,13357
425,425,13830
426,426,13607
427,427,13948
428,428,13319
429,429,13569
430,430,13479
431,431,13586
432,432,13762
433,433,13951
434,434,13599
435,435,13549
436,436,13781
437,437,14115
438,438,13805
439,439,14188
440,440,14399
441,441,14406
442,442,14165
443,443,14278
444,444,14396
445,445,14440
446,446,14617
447,447,13826
448,448,14278
449,449,14389
450,450,14649
451,451,14495
452,452,14271
453,453,14338
454,454,14705
455,455,14590
456,456,14872
457,457,14706
458,458,14495
459,459,14056
460,460,13302
461,461,14054
462,462,13734
463,463,14084
464,464,14727
465,465,14376
466,466,14557
467,467,14542
468,468,14042
469,469,14064
470,470,14606
471,471,14980
472,472,14625
473,473,14090
474,474,14072
475,475,14407
476,476,13940
477,477,14002
478,478,14526
479,479,14002
480,480,14225
481,481,14368
482,482,14494
483,483,14438
484,484,13859
485,485,14099
486,486,12960
487,487,14417
488,488,14413
489,489,14493
490,490,14437
491,491,14433
492,492,14402
493,493,14195
494,494,14347
495,495,14142
496,496,14420
497,497,14551
498,498,14721
499,499,14613
500,500,14715
501,501,15187
502,502,14436
503,503,13845
504,504,14553
505,505,14270
506,506,14184
507,507,14783
508,508,14721
509,509,14405
510,510,14708
511,511,14573
512,512,14033
513,513,14930
514,514,14499
515,515,15206
516,516,15019
517,517,14839
518,518,15184
519,519,14819
520,520,13769
521,521,14502
522,522,14850
523,523,14735
524,524,14176
525,525,14625
526,526,14782
527,527,14255
528,528,13839
529,529,13935
530,530,14590
531,531,14368
532,532,14608
533,533,14713
534,534,14815
535,535,15375
536,536,14840
537,537,14751
538,538,14270
539,539,14588
540,540,14941
541,541,15079
542,542,14774
543,543,14329
544,544,15273
545,545,14827
546,546,14612
547,547,14396
548,548,15305
549,549,15103
550,550,15015
551,551,14682
552,552,15359
553,553,15273
554,554,14841
555,555,15373
556,556,14957
557,557,15979
558,558,15022
559,559,15160
560,560,15124
561,561,15704
562,562,14929
563,563,15128
564,564,14715
565,565,14766
566,566,15343
567,567,15100
568,568,14355
569,569,15100
570,570,15147
571,571,15296
572,572,15044
573,573,15518
574,574,15301
575,575,14994
576,576,15566
577,577,15264
578,578,15402
579,579,15031
580,580,15384
581,581,15058
582,582,15165
583,583,15703
584,584,15427
585,585,15335
586,586,14920
587,587,15416
588,588,15159
589,589,15105
590,590,15126
591,591,15128
592,592,15537
593,593,14952
594,594,15406
595,595,15219
596,596,15690
597,597,14463
598,598,15367
599,599,15149
600,600,15184
601,601,15418
602,602,15192
603,603,15090
604,604,15199
605,605,15004
606,606,15484
607,607,15006
608,608,15519
609,609,15436
610,610,14996
611,611,15126
612,612,15581
613,613,15417
614,614,15098
615,615,15186
616,616,15630
617,617,14632
618,618,15063
619,619,15395
620,620,15889
621,621,15382
622,622,15284
623,623,15535
624,624,15418
625,625,15147
626,626,15311
627,627,15544
628,628,15150
629,629,15636
630,630,15077
631,631,15215
632,632,14531
633,633,14788
634,634,15508
635,635,15637
636,636,15456
637,637,15618
638,638,15395
639,639,15308
640,640,14722
641,641,15573
642,642,15088
643,643,15041
644,644,15642
645,645,15574
646,646,15842
647,647,15178
648,648,15594
649,649,15690
650,650,15307
651,651,15263
652,652,15588
653,653,15734
654,654,15388
655,655,15919
656,656,14805
657,657,15265
658,658,13987
659,659,14624
660,660,14268
661,661,15200
662,662,14594
663,663,15344
664,664,14989
665,665,14147
666,666,14265
667,667,13942
668,668,14269
669,669,13942
670,670,13913
671,671,14231
672,672,14569
673,673,14282
674,674,14565
675,675,13759
676,676,14726
677,677,14299
678,678,13894
679,679,14201
680,680,14531
681,681,13979
682,682,14328
683,683,14011
684,684,14762
685,685,14936
686,686,15115
687,687,15033
688,688,13719
689,689,14494
690,690,15564
691,691,15084
692,692,14283
693,693,14399
694,694,14917
695,695,14468
696,696,14740
697,697,14700
698,698,13986
699,699,14133
700,700,14276
701,701,14328
702,702,15208
703,703,14939
704,704,14519
705,705,14740
706,706,15218
707,707,13880
708,708,14376
709,709,15173
710,710,14672
711,711,14556
712,712,14956
713,713,15070
714,714,15253
715,715,15914
716,716,14447
717,717,14611
718,718,14698
719,719,14497
720,720,15263
721,721,14628
722,722,15101
723,723,14744
724,724,14637
725,725,14305
726,726,15386
727,727,15084
728,728,14093
729,729,14130
730,730,14735
731,731,13972
732,732,15345
733,733,15352
734,734,15455
735,735,14783
736,736,14865
737,737,15447
738,738,15122
739,739,14428
740,740,15427
741,741,14726
742,742,14747
743,743,14448
744,744,15250
745,745,14110
746,746,14575
747,747,14498
748,748,14495
749,749,14897
750,750,14316
751,751,15002
752,752,14454
753,753,14569
754,754,14011
755,755,14838
756,756,14866
757,757,15197
758,758,14417
759,759,15510
760,760,14822
761,761,15517
762,762,15694
763,763,15307
764,764,15267
765,765,15091
766,766,15337
767,767,14346
768,768,15826
769,769,15006
770,770,15188
771,771,14975
772,772,14222
773,773,14504
774,774,15227
775,775,15187
776,776,15455
777,777,15450
778,778,15142
779,779,15120
780,780,15044
781,781,15348
782,782,15162
783,783,15670
784,784,14425
785,785,15832
786,786,14581
787,787,12326
788,788,13281
789,789,13379
790,790,13980
791,791,13274
792,792,13680
793,793,13599
794,794,13868
795,795,14589
796,796,14707
797,797,14266
798,798,14161
799,799,14584
800,800,13971
801,801,14202
802,802,13361
803,803,14333
804,804,13795
805,805,13581
806,806,13562
807,807,14642
808,808,14801
809,809,12558
810,810,13929
811,811,13619
812,812,14362
813,813,14360
814,814,13446
815,815,15037
816,816,14176
817,817,14939
818,818,15023
819,819,14587
820,820,14488
821,821,14946
822,822,15584
823,823,15083
824,824,15415
825,825,15293
826,826,15733
827,827,15367
828,828,13790
829,829,14542
830,830,14179
831,831,13763
832,832,14080
833,833,14689
834,834,12962
835,835,14079
836,836,13575
837,837,14388
838,838,14380
839,839,14402
840,840,13686
841,841,12767
842,842,13327
843,843,14289
844,844,13858
845,845,13456
846,846,14824
847,847,13913
848,848,14162
849,849,14417
850,850,13417
851,851,15181
852,852,15041
853,853,15102
854,854,15164
855,855,15383
856,856,14494
857,857,14533
858,858,15205
859,859,15075
860,860,14547
861,861,15059
862,862,14558
863,863,15447
864,864,15058
865,865,15344
866,866,15199
867,867,15092
868,868,15253
869,869,15119
870,870,15004
871,871,15597
872,872,15177
873,873,14952
874,874,15180
875,875,15413
876,876,14614
877,877,15864
878,878,15132
879,879,15780
880,880,14961
881,881,15392
882,882,14980
883,883,15453
884,884,14701
885,885,14994
886,886,15069
887,887,13578
888,888,15089
889,889,14062
890,890,14800
891,891,14374
892,892,14456
893,893,15459
894,894,14745
895,895,14503
896,896,14315
897,897,14233
898,898,13984
899,899,15354
900,900,15743
901,901,15129
902,902,14841
903,903,15681
904,904,15438
905,905,15123
906,906,15040
907,907,14500
908,908,14634
909,909,15532
910,910,15912
911,911,15096
912,912,15384
913,913,15512
914,914,14654
915,915,15123
916,916,15644
917,917,15388
918,918,14969
919,919,15006
920,920,14340
921,921,15901
922,922,14927
923,923,15960
924,924,15824
925,925,15423
926,926,14682
927,927,15121
928,928,15816
929,929,15041
930,930,16347
931,931,15756
932,932,15789
933,933,15884
934,934,15274
935,935,15512
936,936,15771
937,937,15597
938,938,15216
939,939,15528
940,940,14824
941,941,14748
942,942,15382
943,943,15635
944,944,15304
945,945,15427
946,946,15070
947,947,14294
948,948,14929
949,949,15680
950,950,15226
951,951,15862
952,952,15113
953,953,14422
954,954,14571
955,955,14847
956,956,15878
957,957,15654
958,958,15549
959,959,15595
960,960,14942
961,961,15347
962,962,14829
963,963,15601
964,964,15423
965,965,15456
966,966,15159
967,967,15427
968,968,15124
969,969,15428
970,970,16082
971,971,16108
972,972,15453
973,973,15319
974,974,15050
975,975,15025
976,976,15526
977,977,14255
978,978,14736
979,979,15559
980,980,14609
981,981,15373
982,982,15777
983,983,15557
984,984,15424
985,985,14907
986,986,14644
987,987,15964
988,988,14867
989,989,14974
990,990,14853
991,991,16594
992,992,16471
993,993,15878
994,994,15713
995,995,15426
996,996,14823
997,997,14163
998,998,15819
999,999,15023
